区,学校,2026自招资格人数,详情页情况
白云区,广州市白云区培英实验学校,41,有初中tab
白云区,广州市白云区梓元岗中学,37,有初中tab
白云区,广州市白云区民航学校,3,有初中tab
白云区,广州华联外语实验学校,2,有初中tab
白云区,广州市白云区白云外国语中学,12,有初中tab
白云区,广州市白云区京师实验学校,37,有初中tab
白云区,广州市白云区珠江中学,1,有初中tab
白云区,广州市实验外语学校,26,有初中tab
白云区,广州市庆丰实验学校,20,有初中tab
白云区,广州市白云区华新学校,59,有初中tab
白云区,广州市白云区景泰中学,9,有初中tab
白云区,广州市白云中学（汇侨校区）,3,有初中tab
白云区,广州市第六十五中学（桃园校区）,32,有初中tab
白云区,广州市白云区平沙培英学校,34,有初中tab
白云区,广州市白云中学（棠景校区）,1,有初中tab
荔湾区,广州市南海中学,2,有初中tab
荔湾区,广州市第一中学十甫学校,3,有初中tab
荔湾区,广州市第四中学丰宁学校,3,有初中tab
荔湾区,广州市西关培英中学,2,有初中tab
荔湾区,广州市陈嘉庚纪念中学,2,有初中tab
荔湾区,广州市美华中学,20,有初中tab
荔湾区,广州市第一中学红岩学校,2,有初中tab
荔湾区,广州市真光中学东漖学校,1,有初中tab
荔湾区,广州市真光中学文伟学校,11,有初中tab
荔湾区,广州市真光中学金道学校,15,有初中tab
荔湾区,广州市荔湾区荔广实验学校,48,有初中tab
荔湾区,广州协和学校,112,有初中tab
荔湾区,中国教育科学研究院荔湾实验学校,48,有初中tab
越秀区,广州市第三中学,47,有初中tab
越秀区,广州市第十中学,7,有初中tab
越秀区,广州市第十三中学,20,有初中tab
越秀区,广州市第十七中学,16,有初中tab
越秀区,广东实验中学越秀学校,51,有初中tab
越秀区,广州市第三中学实验学校,11,有初中tab
越秀区,广州市第十六中学东华实验学校,31,有初中tab
越秀区,广州市育才中学,157,有初中tab
越秀区,广州市第十六中学实验学校,143,有初中tab
越秀区,广州市知用学校,26,有初中tab
越秀区,广州市华侨外国语学校,50,有初中tab
越秀区,广州市八一实验学校,71,有初中tab
越秀区,广州市东风实验学校,36,有初中tab
越秀区,广州市真光学校,1,有初中tab
越秀区,广州市第七中学东山学校,29,有初中tab
越秀区,广州市第七中学实验学校,24,有初中tab
越秀区,广州市培正中学矿泉学校,7,有初中tab
越秀区,广东华侨中学（越秀校区）,59,有初中tab
越秀区,广州市越秀区汇泉学校,34,有初中tab
越秀区,广州市越秀区名德实验学校,52,有初中tab
越秀区,广州海印实验学校,25,有初中tab
黄埔区,广州开发区外国语学校,8,有初中tab
黄埔区,广州市第一二三中学,3,有初中tab
黄埔区,广州市黄埔区港湾中学,2,有初中tab
黄埔区,广州市黄埔区新港中学,1,有初中tab
黄埔区,广州开发区中学,2,有初中tab
黄埔区,广州市黄埔区东区中学,1,有初中tab
黄埔区,广州科学城中学,15,有初中tab
黄埔区,广州市黄埔区玉岩实验学校,1,有初中tab
黄埔区,广州市黄埔区华峰学校,3,有初中tab
黄埔区,广州市黄埔区华实学校,41,有初中tab
黄埔区,广州市天健学校,44,有初中tab
黄埔区,广州市黄埔区华外同文外国语学校,4,有初中tab
黄埔区,广州市黄埔区玉泉学校,21,有初中tab
黄埔区,广州市黄埔区会元学校,3,有初中tab
黄埔区,广州市黄埔区铁英中学,197,有初中tab
黄埔区,广州实验中学,41,有初中tab
黄埔区,广州市黄埔军校中学,67,有初中tab
黄埔区,广东外语外贸大学附属科学城实验学校,4,有初中tab
黄埔区,广东外语外贸大学附属黄埔实验学校,1,有初中tab
黄埔区,湖南师范大学附属黄埔实验学校,12,有初中tab
黄埔区,广州市黄埔区丰乐初级中学,16,有初中tab
黄埔区,广大附中高新区实验学校,23,有初中tab
黄埔区,广州市黄埔区中黄外国语实验学校,1,有初中tab
黄埔区,广州市黄埔军校纪念中学,57,有初中tab
黄埔区,华南师范大学附属黄埔实验学校,34,有初中tab
天河区,广州奥林匹克中学,26,无初中tab(POI缺口)
天河区,广州市天河区华实学校,48,无初中tab(POI缺口)
天河区,广州市华美英语实验学校,4,无初中tab(POI缺口)
海珠区,广州市为明学校,19,无初中tab(POI缺口)
番禺区,广东第二师范学院广州南站附属学校,2,无初中tab(POI缺口)
白云区,广州市白云区江高镇第二初级中学,3,无初中tab(POI缺口)
荔湾区,广州荔湾爱莎文华学校,11,无初中tab(POI缺口)
黄埔区,广州市黄埔区开元学校,27,无初中tab(POI缺口)
黄埔区,广东省教育研究院黄埔实验学校,4,无初中tab(POI缺口)
黄埔区,广州市黄埔区苏元学校,171,无初中tab(POI缺口)
